source_url,source_name,source_type,source_quality,license_or_access,notes,last_checked
https://techcrunch.com/2025/01/23/everstone-acquires-bootstrapped-indian-startup-wingify-for-200m/,TechCrunch Wingify acquisition,article,credible_press,public web,Use for Wingify acquisition and bootstrapping claim; corroborate for final paper.,2026-05-22
https://www.paddle.com/recur/all/paddle-acquires-profitwell,Paddle ProfitWell acquisition,company_announcement,primary,public web,Primary source for ProfitWell deal value and strategic rationale.,2026-05-22
https://www.livemint.com/companies/start-ups/bootstrapped-nation-socialpilot-jimit-bagadiya-groupone-zoho-zerodha-wingify-creative-glance-social-media-saas-facebook/amp-11752571905171.html,Mint SocialPilot bootstrapped exit,article,credible_press,public web,Use as candidate evidence until company/acquirer announcement is found.,2026-05-22
https://investors.intuit.com/news-events/press-releases/detail/162/intuit-to-acquire-mailchimp,Intuit to acquire Mailchimp,company_announcement,primary,public web,Primary source for acquisition amount; bootstrapping claim needs separate source if used.,2026-05-22
https://www.infoworld.com/article/2289367/go-it-alone-no-more-github-gets-100-million-investment.html,InfoWorld GitHub first outside funding,article,credible_press,public web,Use for delayed-VC row.,2026-05-22
https://techcrunch.com/2012/05/15/qualtrics-raises-70m-accel-sequoia/,TechCrunch Qualtrics first institutional round,article,credible_press,public web,Use for profitable/delayed VC row.,2026-05-22
https://techcrunch.com/2021/01/26/how-atlantas-calendly-turned-a-scheduling-nightmare-into-a-3b-startup/,TechCrunch Calendly Series B,article,credible_press,public web,Use for late large round and secondary-money detail.,2026-05-22
https://techcrunch.com/2012/10/31/zapier-raises-1-2m-seed-round/,TechCrunch Zapier seed round,article,credible_press,public web,Use for small-seed event; do not overclaim full bootstrapping.,2026-05-22
https://basecamp.com/bootstrapped,Basecamp bootstrapped series,company_site,primary,public web,Use as discourse and definition source.,2026-05-22
https://www.ideracorp.com/pressreleases/acquires-fusioncharts,Idera acquires FusionCharts,company_announcement,primary,public web,Primary source for FusionCharts acquisition.,2026-05-22
https://investors.liveramp.com/news-releases/news-release-details/liveramp-acquire-habu-accelerate-power-data-collaboration/,LiveRamp to acquire Habu,company_announcement,primary,public web,Primary source for Habu acquisition value and rationale.,2026-05-22
https://www.bvp.com/atlas/bootstrapping-to-100-million-arr-cloudinary/,Bessemer Cloudinary bootstrapping analysis,investor_analysis,credible_press,public web,Investor-authored analysis; corroborate before final paper claims.,2026-05-22
https://netcorecloud.com/blog/bootstrapping-a-100-million-arr-saas-company-the-netcore-story/,Netcore bootstrapping story,company_site,primary,public web,Company-authored source; corroborate where possible.,2026-05-22
https://www.geekwire.com/2019/stealthy-insurance-tech-startup-bootstrapped-way-2-35b-acquisition-less-4-years/,GeekWire Assurance IQ,article,credible_press,public web,Boundary post-unicorn case.,2026-05-22
https://tinyseed.com/,TinySeed official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://calmfund.com/,Calm Company Fund official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://earnestcapital.com/,Earnest Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.indie.vc/,Indie.vc official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.lightercapital.com/,Lighter Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.capchase.com/,Capchase official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://founderpath.com/,Founderpath official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://pipe.com/,Pipe official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://clear.co/,Clearco official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://wayflyer.com/,Wayflyer official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.weareuncapped.com/,Uncapped official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.out.fund/,Outfund official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://decathloncapital.com/,Decathlon Capital Partners official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.saas-capital.com/,SaaS Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.novelcapital.com/,Novel Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://bigfootcap.com/,Bigfoot Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
https://www.espressocapital.com/,Espresso Capital official site,official_site,primary,public web,Industry-atlas entity source; verify page-level claim before publication.,2026-05-22
